2024-11-27T13:36:09.590000, sensor2, [LG] webOS TV UN7370PUC, 48:6E:99:2B:8E:0B, -93, 18.587918911465636
2024-11-27T13:36:14.960000, sensor2, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -68, 2.0309176209047357
2024-11-27T13:36:14.960000, sensor2, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -66, 1.701254279852589
2024-11-27T13:36:14.960000, sensor2, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -59, 0.915247310877389
2024-11-27T13:36:14.960000, sensor2, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -88, 11.937766417144363
2024-11-27T13:36:14.960000, sensor2, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -76, 4.1246263829013525
2024-11-27T13:36:14.960000, sensor2, 59-80-82-17-05-85, 59:80:82:17:05:85, -86, 10.0
2024-11-27T13:36:14.960000, sensor2, FB-A7-4F-BF-65-17, FB:A7:4F:BF:65:17, -82, 7.017038286703828
2024-11-27T13:36:14.960000, sensor2, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -74, 3.455107294592219
2024-11-27T13:36:14.960000, sensor2, FF-3C-3B-A5-E2-4D, FF:3C:3B:A5:E2:4D, -74, 3.455107294592219
2024-11-27T13:36:14.960000, sensor2, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -59, 0.915247310877389
2024-11-27T13:36:14.960000, sensor2, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -83, 7.666822074546214
2024-11-27T13:36:14.960000, sensor2, [LG] webOS TV UN7370PUC, 48:6E:99:2B:8E:0B, -100, 34.5510729459222
2024-11-27T13:36:14.960000, sensor2, NHVB9, 6C:21:62:40:6A:30, -83, 7.666822074546214
2024-11-27T13:36:14.960000, sensor2, C1-32-6F-C4-0F-6F, C1:32:6F:C4:0F:6F, -70, 2.4244620170823286
2024-11-27T13:36:14.960000, sensor2, 49-E5-60-31-C4-1B, 49:E5:60:31:C4:1B, -93, 18.587918911465636
2024-11-27T13:36:20.310000, sensor2, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -59, 0.915247310877389
2024-11-27T13:36:20.310000, sensor2, 59-80-82-17-05-85, 59:80:82:17:05:85, -75, 3.7750532053243937
2024-11-27T13:36:20.310000, sensor2, [LG] webOS TV UN7370PUC, 48:6E:99:2B:8E:0B, -96, 24.244620170823282
2024-11-27T13:36:20.320000, sensor2, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -67, 1.8587918911465637
2024-11-27T13:36:20.320000, sensor2, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -89, 13.043213867190055
2024-11-27T13:36:20.320000, sensor2, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -65, 1.5570684047537309
2024-11-27T13:36:20.320000, sensor2, 49-E5-60-31-C4-1B, 49:E5:60:31:C4:1B, -91, 15.57068404753731
