2024-11-27T13:35:48.200000, sensor3, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -52, 0.4923882631706739
2024-11-27T13:35:48.200000, sensor3, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -80, 5.878016072274914
2024-11-27T13:35:48.200000, sensor3, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -66, 1.701254279852589
2024-11-27T13:35:48.200000, sensor3, [LG] webOS TV UN7370PUC, 48:6E:99:2B:8E:0B, -91, 15.57068404753731
2024-11-27T13:35:48.200000, sensor3, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -62, 1.1937766417144364
2024-11-27T13:35:48.200000, sensor3, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -64, 1.425102670302998
2024-11-27T13:35:48.200000, sensor3, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -85, 9.15247310877389
2024-11-27T13:35:48.200000, sensor3, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -95, 22.18982341458972
2024-11-27T13:35:48.200000, sensor3, NHVB9, 6C:21:62:40:6A:30, -81, 6.42232542222936
2024-11-27T13:35:48.200000, sensor3, E4-E3-4B-1B-90-DF, E4:E3:4B:1B:90:DF, -85, 9.15247310877389
2024-11-27T13:35:53.550000, sensor3, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -63, 1.3043213867190053
2024-11-27T13:35:53.550000, sensor3, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -67, 1.8587918911465637
2024-11-27T13:35:53.550000, sensor3, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -58, 0.8376776400682919
2024-11-27T13:35:53.550000, sensor3, 59-80-82-17-05-85, 59:80:82:17:05:85, -75, 3.7750532053243937
2024-11-27T13:35:53.550000, sensor3, NHVB9, 6C:21:62:40:6A:30, -78, 4.923882631706739
2024-11-27T13:35:53.550000, sensor3, [LG] webOS TV UN7370PUC, 48:6E:99:2B:8E:0B, -90, 14.251026703029977
2024-11-27T13:35:53.550000, sensor3, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -69, 2.2189823414589713
2024-11-27T13:35:53.550000, sensor3, 4C-F5-6E-5E-40-E1, 4C:F5:6E:5E:40:E1, -93, 18.587918911465636
2024-11-27T13:35:53.550000, sensor3, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -85, 9.15247310877389
2024-11-27T13:35:53.550000, sensor3, C1-32-6F-C4-0F-6F, C1:32:6F:C4:0F:6F, -62, 1.1937766417144364
2024-11-27T13:35:53.550000, sensor3, 48-BB-C7-58-04-B3, 48:BB:C7:58:04:B3, -74, 3.455107294592219
2024-11-27T13:35:53.550000, sensor3, 73-00-32-E4-3A-E7, 73:00:32:E4:3A:E7, -77, 4.506570337745474
2024-11-27T13:35:53.550000, sensor3, E4-E3-4B-1B-90-DF, E4:E3:4B:1B:90:DF, -88, 11.937766417144363
2024-11-27T13:35:53.550000, sensor3, FB-A7-4F-BF-65-17, FB:A7:4F:BF:65:17, -75, 3.7750532053243937
2024-11-27T13:35:53.550000, sensor3, FF-3C-3B-A5-E2-4D, FF:3C:3B:A5:E2:4D, -61, 1.0926008611173783
2024-11-27T13:35:53.550000, sensor3, ROMTech_Accuangle, D7:AA:37:2E:8D:4F, -97, 26.489692876105284
2024-11-27T13:35:58.900000, sensor3, 47-71-8C-0E-AD-76, 47:71:8C:0E:AD:76, -68, 2.0309176209047357
2024-11-27T13:35:58.900000, sensor3, 59-80-82-17-05-85, 59:80:82:17:05:85, -73, 3.1622776601683795
2024-11-27T13:35:58.900000, sensor3, 30-52-68-7C-77-DD, 30:52:68:7C:77:DD, -63, 1.3043213867190053
2024-11-27T13:35:58.900000, sensor3, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -59, 0.915247310877389
2024-11-27T13:35:58.900000, sensor3, 61-63-D1-F3-BF-EB, 61:63:D1:F3:BF:EB, -68, 2.0309176209047357
2024-11-27T13:35:58.900000, sensor3, 52-E3-5B-F5-27-A3, 52:E3:5B:F5:27:A3, -82, 7.017038286703828
2024-11-27T13:35:58.900000, sensor3, FB-A7-4F-BF-65-17, FB:A7:4F:BF:65:17, -73, 3.1622776601683795
